Book Title,Sum of authors twitter followers,Number of readers,min price,max price,Twitter count,facebook count,number of pages
"Kestrels, Quirky Birds, and Hopeless Egocentricity",9288,842,1599,2399,0,0,123
Recipes with Angular.js,281,1109,999,1499,0,0,103
Functional Reactive Programming on iOS,4422,994,999,1499,2,0,91
CoffeeScript Ristretto,9288,1029,1999,2999,1,0,140
Lean Self Exercise Book,728,68,199,999,0,0,-1
I gabbiani volano in cerchio,554,11,199,399,0,0,24
Laravel: Code Bright (JP),7235,48,2999,3999,0,0,-1
Growing Agile: A Coach's Guide to Training Scrum,2186,203,2500,3000,2,0,149
Laravel: Code Bright (ES),7085,179,2999,3999,0,0,-1
APPropriate Behaviour,5217,362,1000,2000,0,0,149
Zend Framework 2 na prática,2548,32,1399,1499,0,0,-1
Building Secure PHP Apps,1858,310,2499,2999,1,0,102
A Drip of JavaScript,528,77,599,1199,0,0,-1
Yoga Schmoga,347,30,600,1000,0,0,122
Lekcje z oddziału intensywnej terapii,0,29,99,499,0,0,26
CakePHP Unit Testing,663,44,999,1499,0,0,113
.NET 相依性注入,12,82,800,1500,0,0,133
Fifty Years of Night,24300,374,899,999,0,1,352
Ryphna's Notebook,164,4,199,499,0,0,38
Coding In Delphi,1748,170,2999,3999,0,0,236
SCAN framework,2428,19,499,1499,0,0,-1
Getting Stuff Done with Laravel 4 (TR),887,3,2999,3999,0,0,530
Samycreek,0,2,99,499,0,0,137
Agile w praktyce,691,523,370,600,0,0,189
Laravel 4 Cookbook,14209,992,1999,2999,0,0,388
Xanpan,1716,110,1500,1900,0,0,225
Aura Framework v2,3056,8,500,1000,0,0,60
"Starting Your Self-Publishing Path: Chapter 1, Self-Publishing Boot Camp Guide for Authors",538,8,99,299,0,4,-1
Management Matters,1329,107,500,1500,0,0,230
Changes in Genesis 2.0,1925,183,2999,3499,0,0,87
The Seer,225,136,699,999,0,0,-1
career.fork(),527,799,1499,1999,0,0,183
Upgrade to Rails 4,328,131,999,1700,0,0,84
Il talismano della Driade,0,2,299,599,0,0,422
Sketchの基本。,0,6,499,799,0,0,-1
คู่มือ Selenium IDE สำหรับผู้เริ่มต้น,0,10,699,899,0,0,75
Beyond Web and Firefox OS - GAIA FROM ABOVE,0,49,499,1499,0,0,86
Quickstart Guide to the Five Rules of Accelerated Learning,3727,114,999,1499,0,0,-1
The Psychology of Software #Testing,1360,27,999,1999,0,0,81
Brast,0,2,99,499,0,0,82
Il Vascello del Diavolo,0,5,299,499,0,0,177
Rise of the Chulo,625,5,199,699,0,0,-1
Flow & Flower,347,79,400,800,0,0,43
AngularJS + Rails,0,137,2500,3000,0,0,130
C++ for dinosaurs,0,17,499,799,0,0,110
Understanding the Four Rules of Simple Design,12800,1209,11500,1799,7,2,88
What's New in Java 8,0,114,450,999,0,0,52
Build APIs You Won't Hate,11100,1310,2699,2999,2,1,143
Programmieren lernen mit Javascript,88,2,99,499,0,0,26
Predicting Security Threats with Splunk,144,3,299,499,0,0,-1
Trello Dojo,0,390,837,999,0,0,-1
Integrating Front end Components with Web Applications,3452,282,1999,2999,2,1,195
Continuous Improvement In A Flash,2077,74,1300,1750,0,0,-1
Using Zend Framework 2,0,196,1499,1799,0,0,453
Laravel: Code Bright (IT),7269,80,2999,3999,0,0,423
Stuff that Nobody Cares About: Love is,35,4,499,599,0,0,-1
Xamarin iOS Application Development,329,70,1099,1299,0,0,349
Painless Tmux,104,75,499,999,0,0,57
Harri-Petteri ja Harmaa G,51,3,99,299,0,0,166
Node.js 雲端技術與軟體思惟,0,347,699,799,0,1,199
Teach Yourself Enterprise Architect in Ten Days,560,302,1499,1999,0,0,147
Writing On The Go With Scrivener,0,6,99,299,0,0,-1
The Light of the Dragons,0,2,199,499,0,0,-1
Lecture Notes on Intelligent Agents Spring 2013,0,2,99,499,0,0,-1
Lean Change,2369,328,499,1199,2,0,163
Vagrant CookBook (PT-BR),0,23,999,1599,0,0,-1
Read-Eval-Print-λove,8380,104,149,499,0,0,35
The Silversong Child,5842,75,200,800,0,0,696
White Box Networking in 2014,11000,43,2499,4999,0,2,31
The Stone Woods,156,2,499,1299,0,0,-1
HOW-TO: Convert PSD (Photoshop) to HTML/CSS,106,8,1400,1900,0,0,-1
Solivagant Souls,0,2,99,499,0,0,-1
The Engineer,71,116,999,1499,0,0,413
Writing Sublime Plugins,3803,304,2200,2700,0,0,178
Scrumtips,1051,247,499,2499,0,0,-1
Crafting Shakespeare,0,31,699,999,0,0,110
Poeticbuttafly Expressions,879,17,700,1250,0,0,-1
Building Backbone Plugins,8074,1005,4499,2400,2,0,209
15 Fundamentals for Higher Performance in Software Development,0,12,899,999,0,0,306
Enterprise Canvas,2428,36,499,1499,0,0,-1
Global Moves,644,74,999,2499,0,6,-1
The service-oriented enterprise,2428,45,799,1999,0,0,-1
I'm Keeping My Baby,0,2,1199,1599,0,5,-1
Archetypes,0,28,500,750,0,0,319
Rails 程序部署之道,1238,93,990,1390,0,0,-1
Backbone.Marionette.js: A Serious Progression,263,280,2900,3500,0,0,276
Max for Live Ultimate Zen Guide,1984,592,3000,3999,0,0,94
"Real, Legal, Normal",2351,46,999,1999,0,0,137
Software Craftsmanship,1727,476,1800,2500,3,0,305
Laravel: Code Bright (PT-BR),7379,149,2999,3999,0,0,456
The Retrospective Handbook,1476,1194,1299,1799,2,0,-1
Growing Agile: A Coach's Guide to Agile Requirements,2186,72,1000,1500,0,0,52
Towards Next Practice Enterprise Architecture,1466,34,750,1500,0,0,-1
The Lean Change Method,0,369,499,999,1,0,310
AngularJS na prática,1068,639,500,1000,0,1,81
AngularJS for Zend Framework 2 Developers (Early Access Edition),49,31,1200,2000,0,0,-1
A Practical Approach to API Design,6637,281,1999,2999,1,0,33
Real Machine Intelligence with Clortex and NuPIC,1606,15,768,2048,0,0,40
Enterprise Architecture: unlocking business potential,1712,7,1195,1995,0,0,206
Angliai Útikalauz IT-soknak,636,11,99,5,0,0,-1
JavaScript Spessore,9288,239,2900,3900,0,0,361
The Nightingale Throne,5842,8,200,800,0,0,-1
Parallel Programming with OmniThreadLibrary,169,365,999,2998,0,0,264
Mity i Problemy w Agile,483,397,359,699,0,0,131
Sangue Immortale,0,7,299,499,0,1,364
Responsive Email Design,0,8,1599,1899,0,0,109
Modern Programming Made Easy,47,30,899,2499,0,0,104
The SharePoint Governance Manifesto,3137,212,1800,2000,2,1,206
Laravel: Code Happy,6657,3103,999,1999,1,0,-1
Fotozoektocht door Lier,560,45,499,999,0,0,-1
Getting Started with Data Journalism,1502,140,1099,1499,1,0,476
Why programmers work at night,4016,1882,1100,1600,3,3,128
D3 on AngularJS,2883,853,1999,2999,0,0,-1
AngularJS Cookbook,0,65,1499,1999,0,0,154
10 prosperity exercices,0,239,899,999,0,0,97
Laravel 4 Cookbook 日本語版,14359,104,1999,2999,0,0,367
"Nightfall Book One, Volume One of the Nightsong Saga",0,5,99,499,0,0,121
"Go, The Standard Library",880,167,2900,3900,0,0,315
